GeneName	0h-1	0h-2	3h-1	3h-2	6h-1	6h-2
CG3091	125	123	186	180	271	287
CG3078	12	15	17	19	22	26
temp	43	38	65	54	62	79
CG3071	55	47	77	60	82	89
CG2924	127	134	194	161	247	260
CG2918	618	607	901	850	1078	1238
Vml	116	136	222	220	225	281
CG2865	109	110	145	130	170	202
Raf	63	60	100	101	123	134
CG14050	5	4	8	6	4	6
CG2854	10	27	37	27	43	45
Ilp6	72	92	143	138	164	181
mRpL14	69	50	87	68	90	126
CG2841	198	245	325	265	386	418
PsGEF	55	50	79	69	90	91
CG12496	0	0	0	0	0	0
CG32797	0	1	1	2	1	3
gt	1	0	2	5	2	5
tko	40	24	63	65	73	78
boi	23	22	48	41	61	40
z	67	60	116	93	130	128
trol	572	635	874	810	1100	1158
Pdfr	60	68	118	89	120	116
Vha36-3	13	24	39	37	40	46
AANATL7	20	28	49	44	56	55
CG13760	34	29	41	35	52	47
wds	58	69	95	91	99	120
egh	232	233	378	346	480	531
Klp3A	88	102	149	115	160	157
Zw10	94	109	140	137	172	187
Smyd3	28	21	44	44	51	61
eIF3g1	210	191	313	278	390	382
Tsp3A	24	16	33	24	44	44
Seipin	46	48	65	64	90	92
brv3	8	9	25	22	25	19
Pi4KIIIalpha	350	321	473	490	608	660
sgg	269	280	443	409	515	636
HLH3B	0	0	0	0	1	0
CG2652	14	13	30	26	31	31
per	57	52	90	87	113	135
dyw	401	419	577	567	762	842
Spg7	139	141	195	206	250	288
CG2662	14	10	21	22	17	29
Ugalt	89	77	129	108	144	183
eIF2Bbeta	70	65	138	87	160	144
CG2680	68	67	118	104	136	165
CG2681	46	54	105	73	117	160
CG2685	46	36	67	47	81	94
CG2694	50	51	87	67	87	99
CG2701	113	114	190	177	216	240
fs(1)Yb	2	3	11	9	4	12
fs(1)Ya	84	79	129	111	160	149
vilya	1	1	1	0	0	0
dwg	17	36	35	42	46	46
ttm50	80	75	149	134	189	205
CG2712	16	15	19	14	26	19
crm	65	74	113	92	129	134
Syx4	48	43	65	58	75	85
kirre	19	13	27	18	29	25
CG32795	133	142	211	222	259	272
w	2	1	0	0	2	2
CG12498	7	6	10	9	13	18
CG14416	2	0	1	1	3	2
CG14417	0	0	0	0	0	0
CG14418	0	0	0	0	0	0
CG14419	17	25	29	25	33	45
CG3526	2	4	10	9	8	9
CG3588	24	19	34	31	46	38
CG14424	0	0	0	0	0	0
CG32793	0	0	0	0	0	0
CG3592	1	1	2	2	1	3
CG3598	2	1	0	0	0	0
CG14420	0	0	1	1	0	2
CG14421	1	0	0	0	0	0
CG14422	0	0	0	0	1	0
CG14423	0	0	0	0	0	0
CG17959	0	0	0	0	1	0
CG3603	101	96	142	116	185	165
rst	14	8	34	11	27	20
CG4116	0	0	0	0	0	0
N	61	64	98	79	97	117
CG18508	27	32	52	55	72	73
Fcp3C	63	43	101	84	112	103
CG3939	63	61	108	62	107	122
CG14265	0	0	0	0	0	0
ng2	0	0	0	0	0	0
ng3	0	0	0	0	0	0
ng1	0	0	0	0	0	0
ng4	0	0	0	0	0	0
Pig1	0	0	0	0	0	0
Sgs4	0	0	0	0	0	0
dnc	166	180	240	200	309	341
CG10793	5	3	7	12	17	15
Myc	149	135	198	189	263	270
CG12535	10	8	17	18	15	19
CG14269	9	18	17	25	20	22
CG16782	92	80	129	122	161	176
CG10801	2	4	10	13	10	9
CG16781	10	21	34	26	32	38
CG12206	3	7	18	9	16	23
CG10804	12	22	22	29	35	31
CG10802	57	58	101	91	113	111
CG14270	47	55	69	78	70	109
CG10803	44	67	74	77	88	101
Gas8	11	7	15	12	21	24
DIP-alpha	2	2	4	3	5	5
CG13021	5	10	2	6	8	11
ppk8	0	0	1	2	1	2
CG2875	36	36	52	40	61	52
AstA-R1	4	6	7	6	6	10
Ilp7	2	2	4	2	1	2
Parg	23	27	39	37	57	53
Mnt	161	186	218	194	249	340
Rala	193	237	294	260	327	394
Tlk	198	189	266	248	353	371
HIP-R	81	82	120	106	153	150
Crg-1	2	8	5	5	7	9
HIP	61	44	89	78	83	85
fd3F	0	0	0	1	0	0
ec	16	18	26	34	34	30
CG2901	6	9	12	9	12	12
yin	259	251	363	374	431	471
CG2930	402	406	620	579	750	768
VhaAC39-1	426	474	744	623	854	869
CG15239	0	0	3	1	1	3
CG42541	27	43	62	65	59	56
CG2938	89	85	141	128	157	178
Glos	14	22	33	28	28	39
Gem4b	1	1	4	1	3	2
Gem4c	4	4	5	3	7	3
Vap33	387	395	610	530	717	807
lva	273	237	434	371	552	599
CG6428	61	78	108	130	161	150
CG6414	0	1	0	0	1	0
CG43689	6	10	5	6	10	17
CG6379	59	42	64	56	90	80
CG15375	1	2	1	3	2	6
Xpac	23	22	35	34	48	58
brn	10	10	31	24	30	39
cib	418	453	651	587	760	877
Nsun2	62	60	106	86	116	136
dgt4	4	9	13	8	11	13
Tip60	47	41	57	51	57	63
tyf	253	295	417	367	478	491
GlcAT-I	37	41	48	53	64	58
Fas2	201	161	249	295	324	371
CG43288	1	1	0	2	0	1
CG15571	15	8	15	10	10	18
CG15570	347	314	498	518	561	715
Femcoat	24	21	27	27	46	40
Muc4B	58	58	103	78	120	116
CG43134	92	103	156	114	185	230
CG43135	0	0	1	0	0	1
CG15576	18	16	34	29	47	45
CG12691	4	11	10	11	12	12
CG15572	48	45	81	56	94	94
CG15577	22	23	24	37	32	37
CG15578	10	2	9	4	10	14
CG12692	32	23	54	46	60	62
CG15579	5	9	11	6	17	12
mei-9	28	28	30	33	35	44
NO66	153	159	246	219	273	315
mRpL33	22	31	36	22	32	42
norpA	264	291	419	389	470	534
CG12693	29	26	60	44	49	55
CG3626	110	102	150	135	206	238
CG12688	3	4	8	12	10	9
bi	9	5	13	9	15	12
CG3556	38	36	66	59	81	88
rb	145	166	268	232	306	346
CHOp24	217	181	325	283	393	442
CG3568	15	16	19	20	36	31
Usf	57	58	87	80	104	107
CG15912	4	4	11	15	12	21
CG11436	14	16	39	26	29	37
CG3527	20	23	40	41	34	55
CG11444	178	193	309	310	377	450
CG3546	0	0	0	0	1	0
CG12684	21	19	29	15	27	38
peb	158	160	248	245	340	355
CG12184	12	21	30	20	24	44
CG12179	36	51	80	51	85	91
pon	6	8	12	14	17	22
CG3081	4	6	8	9	12	8
CG3062	14	16	20	24	25	32
HLH4C	0	1	0	2	0	1
mRpL30	71	74	139	132	167	177
Torsin	113	106	169	149	183	199
Cbp80	94	87	153	163	171	187
CG15473	0	0	0	1	0	0
CG3009	9	15	26	16	30	42
fzr	48	72	102	117	136	164
Pp2C1	132	160	228	213	270	314
ctp	587	551	866	790	1024	1128
Pdha	754	877	1288	1172	1556	1756
CG7024	59	50	70	72	119	101
Proc-R	33	32	42	38	50	67
CG15472	7	19	11	10	20	21
Klf15	0	0	0	3	1	1
CG2871	20	15	26	29	36	42
CG15471	1	4	9	3	8	8
CG6978	3	1	2	0	4	2
CG2861	42	47	71	83	86	103
CG12682	5	4	7	7	7	13
CG42594	5	6	7	9	7	11
boil	19	14	31	34	37	48
CG6927	44	34	68	59	71	99
CG32772	62	73	105	109	175	159
CG4041	98	79	125	128	150	176
CG6903	135	149	236	212	280	289
CG44774	187	201	320	294	361	407
Ptp4E	117	119	159	143	185	182
CG15468	17	16	20	22	25	24
CG12680	2	3	7	5	5	12
ovo	84	85	131	144	174	174
CG32767	118	115	184	160	191	220
CG15465	163	166	231	211	308	311
rg	163	166	231	211	308	311
Rpn13R	10	16	24	16	24	20
CG5062	17	22	37	30	38	39
CG42749	2	2	5	2	8	5
CG3323	82	76	110	135	148	185
CG17764	18	12	24	24	27	44
Cdk7	38	27	65	62	62	72
snf	78	85	104	105	137	150
TrxT	117	125	192	160	231	226
dhd	408	412	619	505	745	833
CG4198	46	71	100	68	129	131
CG15930	5	5	11	6	5	8
Sas10	44	45	43	55	76	74
Rnp4F	87	91	121	121	166	183
Mcm3	55	55	70	90	118	128
CG3309	32	45	48	53	71	75
XRCC1	28	26	66	52	72	51
CanB	18	19	26	29	34	46
SK	79	62	109	97	129	151
NAAT1	170	158	214	247	287	340
spoon	254	264	333	318	467	510
Usp16-45	104	114	194	163	225	244
CG16756	86	82	143	129	143	178
CG15784	449	453	667	643	799	877
SPR	29	18	32	33	39	56
frma	203	224	334	276	376	429
CG32762	0	0	0	0	0	0
CG4151	0	0	0	0	0	0
CG12730	80	56	108	74	107	126
Vsx2	1	0	0	0	1	2
Vsx1	0	1	3	3	2	2
CG34435	2	8	4	5	6	9
CG34434	55	50	100	94	117	116
RhoGAP5A	30	24	47	34	56	48
Mlc-c	374	409	642	536	718	853
Pop1	30	19	41	40	51	56
OtopLa	98	96	136	143	157	211
OtopLc	23	24	38	26	40	47
Sirt4	38	53	75	73	76	84
CG4119	114	103	159	147	179	214
Rab18	115	116	177	190	216	239
RpL35	1369	1445	2229	1958	2642	2784
Tre1	47	34	52	51	96	87
Gr5a	0	0	1	0	1	0
CG42449	0	0	0	1	0	0
PGAP1	63	66	127	88	128	112
cv	87	94	151	130	179	193
CG3149	89	89	148	117	150	174
AdamTS-B	32	33	43	42	49	69
CG33080	155	164	265	237	301	343
Snx27	82	68	142	111	144	184
CG15773	11	5	18	14	18	15
IntS6	92	81	142	120	164	193
CG4078	40	45	48	60	62	83
CG15772	12	12	22	24	34	28
lin-52	15	16	40	27	35	35
CG15771	322	320	495	433	623	687
MAPk-Ak2	177	174	306	274	383	399
CG42699	20	30	46	45	67	63
CG3097	58	60	76	67	104	102
CG42264	0	0	0	0	0	1
CG3108	0	0	0	0	0	0
CG15767	2	7	9	11	12	14
CG12239	156	190	287	231	313	355
Cpr5C	0	0	0	0	0	0
Prosbeta2R1	9	7	25	18	19	24
CG44329	1	2	0	2	2	2
AgmNAT	6	5	6	7	5	8
CG15765	73	78	107	104	128	158
CG12729	11	11	15	12	21	19
CG43136	4	5	4	10	11	4
CG43137	1	4	4	3	3	4
CG15764	18	13	17	27	15	20
GAA1	145	162	201	214	317	315
mof	28	19	41	45	64	56
Usp30	136	126	191	148	212	264
CG16721	302	309	454	470	534	679
Act5C	4709	4938	7492	6836	8917	9757
CG4020	102	132	180	151	233	258
CG12236	62	44	57	70	78	93
Shmt	1044	1060	1550	1500	1944	2154
CG3726	84	74	132	111	139	151
CG12728	24	19	26	29	38	48
CG32756	16	14	27	21	28	39
CG6041	45	48	78	63	94	89
CG32755	2	4	8	9	12	9
CG6048	18	24	45	31	52	75
CG6067	199	199	349	313	394	434
fs(1)M3	104	98	147	152	164	193
Grip	19	32	43	36	48	52
CG5966	209	244	355	355	434	458
CG4766	9	13	18	19	15	21
mab-21	19	13	24	19	24	37
rux	36	34	61	56	66	75
MCTS1	56	61	82	70	98	109
CG5937	29	25	41	36	41	49
CG5921	38	46	63	60	75	102
CG43115	4	1	4	11	10	9
CG5928	1	3	3	1	4	3
Tsp5D	51	47	70	65	87	100
CG4666	141	134	224	200	238	263
CG4660	7	6	16	13	13	16
raptor	147	177	213	228	312	346
Mipp2	76	90	96	106	146	162
Nep1	38	35	44	51	61	64
Ca-alpha1T	116	120	166	178	217	219
CG32750	4	4	11	13	11	10
CG32751	0	0	0	1	2	1
CG43090	0	1	0	0	0	1
vanin-like	40	46	77	64	88	98
Btnd	2	1	3	1	3	8
Efr	103	89	131	127	191	202
sqh	270	248	365	361	444	529
dtn	99	89	153	121	183	186
CG14445	9	8	13	5	16	13
Rbcn-3A	484	441	681	697	865	952
Spx	33	38	55	60	78	79
schlank	163	191	259	248	337	363
CG3781	27	33	33	51	41	40
Spt6	225	265	392	356	496	542
CG3566	81	77	113	110	151	143
Ubi-p5E	474	508	801	725	881	1001
CG11700	13	9	13	13	14	26
Top3beta	86	74	159	128	183	188
wuho	63	65	99	107	110	130
Rpt4	287	324	509	421	577	666
mldr	14	15	30	32	35	35
CG15892	65	76	96	87	145	158
CG15891	41	33	49	60	63	78
CG3815	52	49	81	57	97	128
CG12219	35	44	59	50	67	73
CG3823	11	6	13	16	24	27
CG15894	20	21	23	16	34	30
CG42240	351	352	540	488	641	711
CG3842	123	108	161	141	168	228
CG3847	65	76	125	118	170	164
ND-B16.6	370	366	585	487	673	777
kdn	1896	1893	3016	2706	3462	3944
swa	73	75	107	100	135	150
Marf	500	551	823	786	919	1115
PpV	90	89	139	129	158	188
CG33664	5	4	7	6	12	6
CG33669	0	0	0	0	0	0
CG33668	4	4	6	2	6	8
CG42340	6	5	6	12	12	10
CG33667	12	8	19	13	17	16
CG33666	0	0	4	2	0	2
CG33665	0	0	0	0	0	0
CG3918	48	65	100	71	89	100
CG3342	27	33	34	39	48	57
Spat	384	395	639	520	716	825
RpL7A	3302	3297	5135	4677	5978	6471
dx	45	58	85	72	85	95
CG34417	496	479	757	657	870	999
CG17717	29	27	40	47	49	48
Pat1	107	112	174	163	194	203
APC7	48	46	61	59	92	89
pigs	212	213	353	305	424	465
CG14443	1	3	2	2	2	4
CG3226	97	121	170	157	222	231
Cdc7	169	199	290	271	342	359
CG3224	73	51	91	73	111	136
Ctr1A	80	94	124	122	177	172
CG3198	105	121	186	178	215	230
Mcm6	77	68	128	109	139	159
ND-ASHI	327	339	518	471	617	664
Fum1	674	696	1127	1037	1346	1464
Fum2	23	37	38	38	58	63
Pink1	359	402	599	585	774	839
CG44303	1	3	3	2	4	5
CG3184	17	18	27	24	36	36
CG14442	175	172	275	252	366	368
CG14440	38	37	50	50	69	92
CG14441	60	70	129	107	149	154
CG3168	1373	1414	2211	2083	2674	2979
RpL17	1543	1627	2513	2211	2826	3133
CG14439	163	162	242	222	276	331
sov	112	115	171	180	202	232
Coq7	89	75	138	127	143	162
shf	90	112	171	139	176	201
C3G	119	112	188	153	237	251
pod1	138	139	221	182	245	292
iav	4	6	5	8	8	13
Nf-YC	53	42	82	69	69	87
xit	37	42	51	57	72	83
Atx-1	1	5	1	5	2	5
nonC	197	208	293	280	414	369
mAChR-C	1	0	0	0	2	2
CG14435	130	131	199	195	233	279
CG4557	89	86	131	133	160	201
Cht11	26	14	42	31	51	57
CG4558	43	27	43	41	34	53
CG14434	25	16	29	26	37	46
CG43736	144	135	205	187	242	259
CG14431	7	10	18	11	12	15
Setd3	45	44	73	66	65	86
CG4586	40	39	52	78	71	93
CG3040	29	36	61	53	83	88
ogre	136	135	219	193	232	287
bou	28	39	40	36	62	60
Inx7	71	76	110	115	119	163
Inx2	166	178	254	226	268	355
cm	43	58	77	74	102	106
CG42308	35	30	40	49	58	76
CG32736	35	30	40	49	58	76
CG3032	3	4	10	5	6	8
CG4593	44	36	60	73	71	75
CG12541	8	11	13	16	33	28
CG14427	0	0	0	0	0	0
nullo	0	0	0	0	0	0
CG4607	372	367	551	480	700	752
Sxl	111	117	187	185	231	236
CG4615	47	51	72	79	100	112
CG4617	33	26	46	42	56	73
CG8300	45	36	94	83	74	104
fz4	42	44	64	68	112	107
CG9650	8	4	14	11	12	10
CG1958	43	36	68	53	67	79
CG1677	231	232	321	349	427	442
CG2059	47	73	80	73	128	109
unc-119	57	67	94	81	122	150
brk	25	16	28	27	34	54
Atg5	45	46	49	58	75	84
Dok	34	42	59	57	54	63
CG18155	12	19	50	45	36	54
CG42780	2	0	0	0	0	3
CBP	22	28	41	45	59	63
CG15034	32	34	50	52	59	76
CG1999	71	86	116	113	158	177
CheA7a	31	42	43	36	67	72
CG42781	1	0	1	0	2	2
CG15035	20	16	35	35	39	51
CG32727	5	4	18	7	18	18
CG42246	25	12	28	18	32	51
CG42704	6	10	19	18	18	26
CG42705	1	4	2	5	6	2
CG34337	0	0	0	0	0	0
CG9657	22	24	26	32	40	32
CG15036	0	0	0	1	1	0
CG32726	6	7	14	10	14	17
CG11368	51	42	71	63	72	79
CG43198	1	0	1	2	0	2
CG32719	14	24	20	19	32	43
CG43138	0	0	4	5	3	4
CG32720	22	5	23	18	23	33
CG11369	42	55	59	45	64	81
CG12689	27	27	59	72	66	80
ct	62	94	123	95	152	155
CHES-1-like	112	97	200	150	220	258
CG15478	2	2	1	2	5	1
Hira	54	46	77	60	83	98
NELF-B	28	24	40	37	49	57
CG12155	45	42	68	65	97	93
Pdp	98	72	143	142	163	185
Rab39	83	87	126	128	177	169
Tom40	190	198	291	279	344	382
Ir7a	0	0	0	0	0	0
CG34338	0	0	0	0	0	0
CG32718	12	7	18	11	18	23
CARPA	2	5	4	5	14	10
CG10920	37	26	39	51	56	69
CG1409	12	7	6	7	13	8
Ir7b	0	1	0	1	1	1
dec-1	917	923	1375	1351	1712	1863
Ir7c	9	15	23	24	35	21
Ir7d	0	0	0	0	0	0
Ir7e	0	0	0	0	0	0
Ir7f	0	0	0	0	1	0
Ir7g	0	0	0	0	0	0
CG10932	204	170	263	265	345	387
Nek2	10	14	15	17	16	24
CG45089	211	207	306	270	394	446
ND-MNLL	211	207	306	270	394	446
p115	105	76	144	143	178	166
RpS6	1862	1957	3013	2859	3478	3908
bys	55	59	71	79	96	117
dpr14	10	18	23	11	25	20
spidey	459	477	732	605	805	869
snz	123	123	183	151	185	218
hdm	1	0	0	1	1	0
Ykt6	70	66	100	100	118	148
mahe	219	203	333	336	416	509
CG10778	44	29	64	51	70	78
RpS14a	895	880	1343	1281	1654	1783
RpS14b	515	539	823	799	962	1032
Ubr3	242	266	404	338	473	475
l(1)G0193	239	256	365	341	417	430
CG15332	9	6	4	8	7	14
CG15330	2	2	4	3	7	4
sws	585	574	929	865	1087	1219
sn	95	109	161	173	215	227
Tbh	10	10	13	10	14	13
CG15333	9	17	21	22	23	21
CG2233	7447	7721	11164	10368	13019	14545
fs(1)h	189	229	295	284	348	416
mys	392	421	754	629	787	875
Upf2	71	75	137	107	168	167
CG1571	12	11	30	30	31	41
Ldsdh1	602	587	974	882	1053	1212
CG2256	5	1	0	1	1	4
UbcE2H	410	437	631	567	762	925
CG2258	52	64	77	67	82	112
Gclc	370	380	560	522	630	736
CG1575	35	38	55	48	61	49
CG2260	39	46	60	65	66	79
cyr	0	2	3	2	1	3
CG2116	54	49	84	95	104	114
CG10958	27	42	55	50	64	84
CG2120	5	7	5	8	6	9
Smox	244	235	370	374	435	514
CG17982	23	36	57	42	55	50
alpha-PheRS	121	136	241	211	278	254
CG2129	21	15	23	24	28	30
CG15336	0	1	0	1	2	1
CG10959	11	8	20	18	32	28
Gbeta5	26	30	32	42	47	60
CG18262	9	14	18	24	32	31
Traf6	48	31	80	59	75	87
GIIIspla2	90	114	137	112	172	196
CG15337	13	10	23	17	18	36
CG10761	24	19	22	33	30	35
Or7a	0	0	1	0	0	2
CG2278	16	13	21	21	26	29
slpr	69	78	126	128	156	182
sdt	174	181	271	259	325	403
CG2147	41	31	67	60	87	76
sni	80	78	133	140	148	184
Trxr-1	840	880	1287	1271	1545	1826
ND-75	1008	1103	1630	1605	1987	2269
CG1632	9	7	6	9	19	24
Corp	19	14	23	18	41	32
CG15343	7	8	20	15	13	15
CG1636	82	80	109	92	133	153
nAChRalpha3	11	11	16	22	17	24
CG1387	36	62	82	85	103	112
CG10555	100	86	144	129	184	189
PIG-T	90	109	163	152	164	223
lawc	27	28	54	31	61	81
Trf2	235	237	352	309	397	469
CG32712	1	6	5	3	6	2
Miga	69	68	100	85	118	151
CG1440	334	348	496	455	627	657
CG12123	29	28	35	30	44	64
org-1	10	4	5	14	21	9
CG32713	15	17	18	23	35	27
CG15347	278	293	456	421	545	625
Es2	35	32	55	44	68	69
Sptr	75	57	108	93	115	150
CG33223	8	19	31	24	28	36
CG12116	1116	1180	1779	1623	2069	2245
Cp7Fa	85	85	118	98	157	157
Cp7Fb	221	231	341	313	406	437
Cp7Fc	233	221	334	318	438	473
Cp36	1580	1628	2528	2333	2908	3328
Cp38	2431	2566	3739	3638	4573	5042
otu	151	164	227	179	259	318
CG33181	165	183	265	212	312	352
Nrg	242	244	389	329	517	487
PIP82	51	78	92	77	125	137
IntS4	57	51	90	78	108	120
CG12112	52	45	59	52	80	101
Trf4-1	108	127	217	197	262	281
CG12111	23	29	38	24	33	40
spirit	34	20	45	54	60	68
CG12065	193	220	332	285	399	459
CG12081	50	57	96	78	127	140
CG12659	11	8	14	10	18	20
Crag	248	255	413	393	468	547
Caf1-180	112	103	156	124	168	200
oc	9	11	17	11	23	15
Rubicon	54	49	90	88	78	107
CAH3	225	210	319	298	376	411
Ppt1	39	31	45	47	57	62
Ogg1	16	11	22	17	24	26
CG11294	11	12	11	14	14	11
Hexo2	263	277	413	376	485	549
CG2004	197	231	371	377	404	477
CG1785	67	78	117	111	140	168
l(1)G0020	55	36	60	46	83	97
CG1789	28	35	53	41	55	60
Lim1	8	13	31	17	33	40
CG12075	46	56	64	74	84	104
Moe	812	779	1274	1133	1447	1677
Uros1	48	52	80	79	90	92
Rbm13	43	44	60	76	74	83
e(r)	69	80	108	108	133	170
CG12661	2	1	1	2	0	2
CG43255	5	3	5	3	7	3
rdgA	128	121	217	179	233	236
CG10962	48	60	69	62	96	109
CG12662	0	1	0	1	0	0
Nost	116	122	184	182	236	249
CG15365	23	18	20	28	30	35
CG10970	17	9	24	22	37	21
CG44325	183	231	334	300	388	428
CG7246	24	20	53	43	51	52
HP1b	44	48	53	57	77	88
APC4	21	31	25	28	44	42
CG32708	13	19	29	22	32	46
CG32706	10	7	12	16	17	14
CG6999	17	9	25	18	22	33
CCT2	396	425	630	598	751	858
CG7766	607	619	998	875	1154	1353
Bx42	104	118	177	158	182	214
Arfrp1	26	22	35	38	48	46
AP-1gamma	214	231	354	332	390	412
fend	25	25	34	39	42	51
CG7065	43	58	94	82	107	122
fh	25	11	31	30	41	43
Bap111	132	159	214	214	253	278
His3.3B	981	1043	1543	1387	1724	2088
Ost48	328	377	524	479	639	693
Dlip1	6	2	5	11	12	14
CG9034	142	129	195	217	286	267
Zpr1	40	47	80	75	71	97
CG44532	0	0	0	0	0	1
mei-P26	211	225	306	294	375	462
CG12115	0	1	0	0	1	0
CG12057	176	182	310	265	330	349
CG12056	21	27	52	45	55	59
CG12106	14	15	27	8	13	20
CG12118	124	103	176	160	209	273
su(r)	233	254	390	397	481	546
SmydA-9	44	74	110	87	113	121
Obp8a	7	1	8	1	8	7
CG15368	11	15	21	13	16	24
CG15369	8	4	12	8	13	13
t	122	160	213	250	255	312
CG15370	0	1	0	2	0	0
Gr8a	13	6	12	7	14	8
CG12121	198	180	307	262	337	395
Ir8a	0	0	0	0	0	1
mxc	48	42	63	57	85	93
Larp7	33	43	62	53	66	81
amx	33	23	36	36	50	56
Dsor1	55	67	89	83	116	145
CG17754	176	184	251	257	305	351
ric8a	46	33	59	53	77	96
Erk7	64	71	105	84	101	108
CG17440	2	6	8	8	11	15
Cfp1	28	31	61	44	60	56
Aladin	45	36	82	75	64	77
c11.1	189	209	333	305	378	417
lz	2	2	5	7	11	10
c12.1	54	55	75	75	94	121
c12.2	105	125	209	161	225	251
Zdhhc8	94	87	132	152	166	198
CG34450	29	37	39	41	53	62
BCL7-like	12	27	44	37	41	52
mgl	340	337	526	495	691	722
CG44815	0	0	0	0	0	0
CG32700	14	32	36	36	36	45
CG34028	0	0	2	2	0	0
CG34026	110	111	167	115	184	178
l(1)G0320	544	511	807	777	1039	1100
RpS28b	1335	1374	2153	1927	2483	2627
CG15317	12	8	16	15	14	13
Cubn	104	94	150	144	194	184
LPCAT	158	135	229	207	293	281
CG42395	6	2	5	5	8	10
Hex-A	810	833	1324	1170	1576	1797
Gga	95	83	149	130	172	217
Lst8	57	49	67	76	99	140
LysRS	136	114	215	199	206	298
CG42797	61	74	95	85	119	154
Ptpmeg2	189	203	316	280	350	424
CG3106	81	79	124	114	166	148
nej	213	225	332	286	415	447
btd	2	3	2	0	2	1
Sp1	16	14	18	21	35	33
CG1354	187	186	320	269	371	388
CARPB	23	30	53	41	48	64
Ser7	170	188	297	289	360	380
CG45060	4	1	3	2	7	7
CG45061	4	3	4	8	11	11
CG32695	80	84	113	129	185	169
CG15247	30	31	51	54	58	65
CG1468	283	283	455	415	519	545
CG9686	269	320	531	441	568	614
CG9689	21	24	44	30	35	50
CG9691	552	598	850	812	1035	1128
CG15249	0	0	0	0	0	0
CG1986	0	0	0	0	0	0
Idgf4	1767	1898	2953	2629	3368	3557
CG1791	23	26	51	34	46	45
CG1889	54	69	88	96	115	132
CG43386	0	2	1	1	0	1
CG15252	0	0	0	0	1	0
CG32694	96	94	149	131	156	202
CG33557	1	0	0	2	1	0
CG2990	24	17	35	31	35	38
Cht6	32	14	37	32	34	36
Yp2	5423	5482	8592	7851	10088	10979
Yp1	6216	6482	9815	9206	11625	12737
CG15312	38	51	52	56	74	96
Gr9a	0	0	0	0	0	0
ZAP3	178	178	266	233	352	375
CG2972	76	91	110	117	133	173
Naxe	30	30	50	39	47	42
RhoU	19	18	31	20	26	43
CG12645	3	3	3	6	2	2
CG43902	25	16	33	27	31	39
CG15309	121	138	202	195	261	299
ATPsyndelta	633	662	962	960	1199	1299
CG2962	0	0	0	0	0	0
CG15308	0	0	0	0	0	0
CG34408	140	168	241	229	287	296
Ipod	1	2	1	0	0	3
Hk	104	95	130	105	152	190
CG12643	50	55	82	76	86	105
alpha-Man-Ia	109	86	131	152	215	210
CG2909	17	33	58	39	82	69
Gip	308	315	493	445	578	587
CG15306	56	43	82	69	114	124
CG43740	12	13	25	12	16	17
l(1)G0289	460	451	715	678	870	861
CG32679	0	0	0	0	0	0
CG17841	910	824	1335	1197	1641	1732
CG32686	59	45	82	67	101	107
CG2898	15	17	30	24	19	34
CG32681	10	6	18	20	21	13
Psf3	30	16	42	27	36	46
flw	187	179	301	243	387	377
CG32683	2	6	15	10	15	12
RabX2	0	0	0	0	0	0
CG12640	0	0	0	0	0	0
Or9a	0	0	0	0	0	0
Neb-cGP	534	519	770	669	865	938
nocte	368	343	570	531	739	841
CG2889	23	18	55	41	55	55
CG2887	7	12	15	11	13	25
PPP4R2r	98	102	154	128	187	153
CG32687	442	469	663	668	777	860
spri	104	106	158	136	183	231
CG15296	15	12	18	17	29	17
Rab9D	1	1	2	1	0	3
Hmr	19	25	27	34	28	46
CG2124	8	15	20	17	28	29
CG1628	97	103	140	130	187	190
CG43347	35	37	52	48	73	71
Rab9Db	2	0	1	2	1	4
CG9806	10	14	14	21	20	24
X11Lbeta	42	32	56	47	65	72
CG2111	25	25	31	32	55	48
Rab9E	2	1	1	2	5	0
CG12637	11	15	17	13	25	23
stx	240	222	318	261	368	453
ras	201	220	333	331	415	435
Rph	6	18	28	29	24	32
Tango5	210	205	273	273	387	398
Atg8a	920	891	1382	1230	1577	1798
BTBD9	107	80	125	124	183	192
CG15211	51	46	66	84	99	99
Ant2	71	73	152	118	164	173
sesB	7328	7309	11098	9961	12736	13853
Imp	219	225	351	341	422	446
sbr	101	106	173	171	177	222
CG15210	50	54	92	102	108	147
CG15209	172	187	283	245	335	363
CG32669	47	52	51	50	75	69
CG17333	155	165	257	253	337	327
CG2202	70	82	112	127	151	150
feo	73	61	104	101	123	127
sofe	50	41	80	66	75	77
CG2186	115	104	165	129	191	215
CG2157	16	18	34	25	38	33
CG1637	173	158	284	226	301	338
Ork1	96	75	148	96	143	161
CG1582	98	101	142	187	194	223
CG15208	34	59	71	44	102	84
CG43901	30	19	41	43	46	43
v	136	114	185	182	236	247
CG2145	316	361	524	453	681	675
Myo10A	92	92	145	110	168	161
Rab9Fa	0	1	2	1	3	2
Rab9Fb	2	4	4	4	2	8
C901	0	0	1	0	1	0
CG42339	5	5	18	6	6	7
SmydA-4	12	19	31	9	37	30
CG1552	52	86	81	68	103	120
CG1545	7	5	7	7	12	8
CG1537	7	2	4	5	8	7
CG15203	48	57	72	74	112	100
sev	241	248	413	389	505	522
Vago	98	80	153	126	197	194
CG2076	340	346	576	498	642	737
CG2061	55	39	62	61	90	104
CG42249	90	71	116	123	124	148
Hsp60A	884	908	1461	1346	1756	1972
CG11122	103	115	179	156	212	249
